Phase,RMSE,R2
"Baseline
(Mean)",8.51,0.0
"Phase 1
SVR (RBF)",3.98,0.782
"Phase 2
BiLSTM+Attn",2.2832093238830566,0.9285866099938334
"Phase 3
Hybrid",1.9001087733882531,0.9505410285387889
