Model,MAE,RMSE,R2
Embeddings Only,1.0402019835935505,1.8864206158921288,0.9512510549107457
Hybrid (DL+ML),1.0579789331726581,1.9001087733882531,0.9505410285387889
Pure DL (BiLSTM),1.2785353660583496,2.2832093238830566,0.9285866099938334
Pure ML (SVR),3.8278847943402576,6.5218592788976135,0.41731880545634514
